,ESTRELLAS,Comentario,FECHA
0,5.0 de 5 estrellas,This shirt is so comfortable.,Calificado en Estados Unidos el 31 de octubre de 2021
1,5.0 de 5 estrellas,Soft and fits true to size !,Calificado en Estados Unidos el 8 de enero de 2019
